GO,P,FDR,p.L,p.G,g,G,nc,mc,GO.def,child.GOs
GO:0006468,0.000370213,0.024995259,0,1,43,922,84,39606,The process of introducing a phosphate group on to a protein.,GO:0000079
GO:0044267,0.000778826,0.038235704,0,1,54,1186,114,61360,"The chemical reactions and pathways involving a specific protein, rather than of proteins in general, occurring at the level of an individual cell. Includes cellular protein modification.","GO:0000079,GO:0006464,GO:0006468"
GO:0006810,0.001201009,0.048603342,0,1,45,944,85,43323,"The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter, pore or motor protein.","GO:0016192,GO:0006820,GO:0006821"
GO:0006629,0.00174076,0.062619006,0,1,19,528,46,20151,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.","GO:0006631,GO:0006633,GO:0008610"
GO:0006464,7.03E-05,0.005686916,0,1,47,1020,98,47061,"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications) occurring at the level of an individual cell. Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification).","GO:0000079,GO:0006468"
GO:0016747,0.000285139,0.020514168,0,1,10,223,26,7766,"Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor).",GO:0004315
GO:0006633,1.37E-05,0.001610147,0,1,7,85,17,3220,"The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes.",
GO:0004315,1.30E-07,3.37E-05,0,1,2,16,11,789,Catalysis of the reaction: acyl-[acyl-carrier protein] + malonyl-[acyl-carrier protein] = 3-oxoacyl-[acyl-carrier protein] + CO2 + [acyl-carrier protein].,
GO:0005801,3.54E-06,0.000573332,0.01302,0.99974,2,10,6,271,"The network of interconnected tubular and cisternal structures located at the convex side of the Golgi apparatus, which abuts the endoplasmic reticulum.",
GO:0005216,0.000677208,0.036541023,0,1,5,73,13,2697,Enables the facilitated diffusion of an ion (by an energy-independent process) by passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism. May be either selective (it enables passage of a specific ion only) or non-selective (it enables passage of two or more ions of same charge but different size).,"GO:0005247,GO:0008308"
GO:0051536,8.41E-08,2.72E-05,0,1,6,76,20,3021,"Interacting selectively and non-covalently with an iron-sulfur cluster, a combination of iron and sulfur atoms.",
GO:0000139,0.000518785,0.030537596,0.04982,0.99621,4,23,7,1042,The lipid bilayer surrounding any of the compartments of the Golgi apparatus.,
GO:0016192,0.000217283,0.016551865,0,1,11,161,21,5719,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",
GO:0008610,5.76E-05,0.004972356,0,1,13,292,35,11388,"The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent.",GO:0006633
GO:0000145,3.27E-05,0.003027546,0.00151,0.99996,3,32,7,1031,A protein complex peripherally associated with the plasma membrane that determines where vesicles dock and fuse. At least eight complex components are conserved between yeast and mammals.,
GO:0000079,0.001693096,0.062619006,0.44078,0.9331,4,24,5,862,"Any process that modulates the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity.",
GO:0019538,0.001729427,0.062619006,0,1,61,1210,125,68948,"The chemical reactions and pathways involving a specific protein, rather than of proteins in general. Includes protein modification.","GO:0000079,GO:0006464,GO:0006468,GO:0044267"
GO:0016310,0.000740106,0.038235704,0,1,44,966,86,42795,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide.","GO:0000079,GO:0006468"
GO:0006952,1.92E-05,0.00207381,0,1,3,85,16,3082,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack.",
GO:0006820,0.001131835,0.047281486,0,1,3,45,9,1662,"The directed movement of anions, atoms or small molecules with a net negative charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",GO:0006821
GO:0051082,0.000906976,0.040501152,0,1,5,74,12,2592,Interacting selectively and non-covalently with an unfolded protein.,
GO:0033014,1.01E-05,0.001311746,0,1,3,41,12,1641,"The chemical reactions and pathways leading to the formation of tetrapyrroles, natural pigments containing four pyrrole rings joined by one-carbon units linking position 2 of one pyrrole ring to position 5 of the next.",GO:0006779
