ind,pop,K1,K2,K3,K4,K5,K6,K7
CBI_10,CBI,0.000010,0.502841,0.000010,0.497109,0.000010,0.000010,0.000010
CBI_12,CBI,0.000020,0.999930,0.000010,0.000010,0.000010,0.000010,0.000010
CBI_13,CBI,0.000016,0.944723,0.000010,0.000010,0.000010,0.055220,0.000010
CBI_15,CBI,0.000010,0.999940,0.000010,0.000010,0.000010,0.000010,0.000010
CBI_02,CBI,0.000010,0.999940,0.000010,0.000010,0.000010,0.000010,0.000010
CBI_03,CBI,0.000010,0.999931,0.000019,0.000010,0.000010,0.000010,0.000010
CBI_05,CBI,0.000010,0.999930,0.000010,0.000019,0.000010,0.000011,0.000010
CBI_08,CBI,0.000019,0.999913,0.000019,0.000010,0.000010,0.000019,0.000010
CHL_01,CHL,0.000010,0.009292,0.000010,0.000010,0.000010,0.990658,0.000010
CHL_04,CHL,0.000016,0.000010,0.000010,0.000010,0.000010,0.999934,0.000010
CHL_06,CHL,0.000011,0.000010,0.000010,0.000019,0.000010,0.999929,0.000010
CHL_07,CHL,0.000011,0.000010,0.000010,0.000010,0.000010,0.999939,0.000010
CHL_08,CHL,0.000010,0.000010,0.000010,0.000010,0.000011,0.999939,0.000010
CHL_12,CHL,0.000015,0.024252,0.000010,0.000010,0.000010,0.975693,0.000010
CHL_13,CHL,0.000019,0.000010,0.005699,0.000010,0.000010,0.992741,0.001511
CLK_10,CLK,0.000010,0.000013,0.000010,0.000011,0.000010,0.000010,0.999936
CLK_11,CLK,0.000010,0.000010,0.049271,0.000010,0.000010,0.000010,0.950679
CLK_12,CLK,0.000016,0.000014,0.000010,0.000010,0.000010,0.000010,0.999930
CLK_13,CLK,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.999940
CLK_14,CLK,0.000018,0.000010,0.000010,0.000010,0.000010,0.000010,0.999932
CLK_01,CLK,0.000017,0.000010,0.000010,0.000010,0.000010,0.000010,0.999933
CLK_02,CLK,0.000010,0.000010,0.023614,0.000013,0.000010,0.000010,0.976333
CLK_03,CLK,0.000010,0.000010,0.000013,0.000017,0.000010,0.000010,0.999931
CLK_04,CLK,0.000016,0.000010,0.022169,0.000010,0.000010,0.000010,0.977775
CLK_05,CLK,0.000015,0.000010,0.000010,0.000015,0.000010,0.000010,0.999930
CLK_06,CLK,0.000013,0.000010,0.024494,0.000010,0.000010,0.000010,0.975453
CLK_07,CLK,0.000012,0.000010,0.000010,0.000010,0.000010,0.000010,0.999938
CLK_08,CLK,0.000010,0.023726,0.056927,0.000010,0.000010,0.000010,0.919307
CLK_09,CLK,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.999940
CPL_10,CPL,0.000010,0.034977,0.000010,0.000017,0.000010,0.782895,0.182081
CPL_11,CPL,0.000010,0.011285,0.000010,0.000010,0.000010,0.424480,0.564195
CPL_12,CPL,0.000010,0.027272,0.000010,0.000010,0.000010,0.735244,0.237445
CPL_13,CPL,0.000010,0.000010,0.000010,0.000010,0.000010,0.738381,0.261569
CPL_14,CPL,0.000010,0.000010,0.000017,0.000010,0.000010,0.722554,0.277389
CPL_15,CPL,0.000010,0.063575,0.000010,0.000010,0.000010,0.410137,0.526248
CPL_01,CPL,0.000010,0.000010,0.000010,0.000010,0.000010,0.922843,0.077107
CPL_02,CPL,0.000011,0.048287,0.000010,0.000010,0.000010,0.809212,0.142459
CPL_03,CPL,0.000010,0.000195,0.000010,0.000011,0.000010,0.864094,0.135670
CPL_04,CPL,0.000012,0.234566,0.000010,0.000010,0.000010,0.539145,0.226247
CPL_05,CPL,0.000010,0.000010,0.000010,0.000010,0.000010,0.858226,0.141724
CPL_07,CPL,0.000010,0.026544,0.000010,0.000010,0.019927,0.885269,0.068231
CPL_08,CPL,0.000010,0.000010,0.000010,0.000010,0.000010,0.826417,0.173533
CPL_09,CPL,0.000010,0.015943,0.000010,0.000012,0.000010,0.858459,0.125556
CYH_10,CYH,0.160325,0.000010,0.001856,0.000010,0.000010,0.000010,0.837778
CYH_11,CYH,0.183222,0.000010,0.110269,0.000010,0.000010,0.000010,0.706469
CYH_12,CYH,0.273209,0.000010,0.164981,0.000010,0.000010,0.000010,0.561770
CYH_13,CYH,0.441964,0.000010,0.296126,0.000010,0.000010,0.000010,0.261870
CYH_15,CYH,0.105175,0.000010,0.026589,0.000010,0.000013,0.000010,0.868193
CYH_01,CYH,0.097104,0.000010,0.220659,0.000012,0.000010,0.000010,0.682195
CYH_02,CYH,0.087086,0.000010,0.276894,0.000014,0.000010,0.000010,0.635976
CYH_03,CYH,0.078133,0.000010,0.054734,0.000010,0.000010,0.000010,0.867092
CYH_05,CYH,0.128445,0.000010,0.029209,0.000013,0.000010,0.000010,0.842302
CYH_06,CYH,0.121120,0.000015,0.240714,0.000010,0.000010,0.000010,0.638120
CYH_09,CYH,0.179539,0.000010,0.057460,0.000010,0.000010,0.000010,0.762961
DCK_01,DCK,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.999940
DCK_02,DCK,0.000013,0.000010,0.000010,0.000010,0.000010,0.000010,0.999937
DCK_03,DCK,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.999940
DCK_04,DCK,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.999940
DCK_05,DCK,0.000017,0.000010,0.019376,0.000011,0.000010,0.000010,0.980565
DCK_06,DCK,0.000017,0.000010,0.000010,0.000010,0.000010,0.000010,0.999933
DCK_07,DCK,0.000011,0.000018,0.000010,0.000013,0.000010,0.000010,0.999927
DCK_09,DCK,0.000010,0.000010,0.034572,0.000010,0.000010,0.000010,0.965378
DCK_10,DCK,0.000014,0.000019,0.000010,0.000010,0.000010,0.000010,0.999927
DCK_11,DCK,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.999940
DCK_12,DCK,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.999940
DCK_13,DCK,0.005616,0.000010,0.000010,0.000010,0.000010,0.000010,0.994334
DCK_15,DCK,0.000010,0.000010,0.000010,0.000018,0.000010,0.000010,0.999932
DPR_01,DPR,0.000017,0.000019,0.000010,0.000010,0.000012,0.999921,0.000010
DPR_02,DPR,0.000010,0.002689,0.000010,0.000010,0.000010,0.997261,0.000010
DPR_04,DPR,0.000017,0.031429,0.000010,0.000010,0.000010,0.968515,0.000010
DPR_05,DPR,0.000010,0.024471,0.000010,0.000010,0.000010,0.975479,0.000010
DPR_06,DPR,0.000010,0.000016,0.000010,0.000010,0.000010,0.999934,0.000010
DPR_07,DPR,0.000010,0.002446,0.000010,0.000010,0.000010,0.997504,0.000010
DPR_08,DPR,0.000019,0.000010,0.000010,0.000010,0.000010,0.999931,0.000010
DPR_09,DPR,0.000010,0.003416,0.000010,0.000017,0.000010,0.996526,0.000010
DPR_10,DPR,0.000012,0.004169,0.000014,0.000012,0.000010,0.995773,0.000010
DPR_11,DPR,0.000010,0.000010,0.000010,0.000014,0.000010,0.999936,0.000010
DPR_12,DPR,0.000010,0.000010,0.000010,0.000010,0.000010,0.999940,0.000010
DPR_13,DPR,0.000011,0.000011,0.000010,0.000010,0.000010,0.999938,0.000010
DPR_14,DPR,0.000010,0.000010,0.000010,0.000010,0.000010,0.999940,0.000010
DPR_15,DPR,0.000010,0.026668,0.000010,0.000010,0.000010,0.973282,0.000010
FIS_10,FIS,0.000010,0.999932,0.000018,0.000010,0.000010,0.000010,0.000010
FIS_11,FIS,0.000010,0.999940,0.000010,0.000010,0.000010,0.000010,0.000010
FIS_12,FIS,0.000010,0.999937,0.000013,0.000010,0.000010,0.000010,0.000010
FIS_14,FIS,0.000012,0.999938,0.000010,0.000010,0.000010,0.000010,0.000010
FIS_15,FIS,0.000010,0.999932,0.000010,0.000010,0.000010,0.000018,0.000010
FIS_01,FIS,0.000010,0.999940,0.000010,0.000010,0.000010,0.000010,0.000010
FIS_04,FIS,0.000010,0.999940,0.000010,0.000010,0.000010,0.000010,0.000010
FIS_05,FIS,0.000010,0.999937,0.000013,0.000010,0.000010,0.000010,0.000010
FIS_06,FIS,0.000010,0.999940,0.000010,0.000010,0.000010,0.000010,0.000010
FNO_10,FNO,0.000010,0.000010,0.267604,0.000010,0.000012,0.000010,0.732344
FNO_11,FNO,0.000010,0.000010,0.999940,0.000010,0.000010,0.000010,0.000010
FNO_12,FNO,0.000010,0.000010,0.466129,0.000010,0.000010,0.000010,0.533821
