# These PC scores were calculated from the 19 BIOCLIM variables plus latitude,,,,,,,,,,,,,,,,,,,,
ind_code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
CBI_12,-9.210937259,1.692812885,0.127464682,-0.217095634,0.529533115,2.75791158,0.746803366,0.654153689,-0.475428002,-0.159665856,0.177811512,0.110405354,-0.046238206,0.058732653,-0.023159415,-0.014919811,-0.015989893,-0.007889881,0.006068626,3.00E-15
CBI_13,-9.210992708,1.692728191,0.127503799,-0.217077447,0.529532895,2.757818244,0.74690179,0.654323607,-0.475350565,-0.15956271,0.177799176,0.1104362,-0.046220271,0.058704664,-0.023153128,-0.01490665,-0.015979095,-0.007895752,0.006071402,3.00E-15
CBI_15,-9.211117468,1.692537629,0.127591814,-0.217036527,0.529532399,2.757608238,0.747123246,0.654705923,-0.475176333,-0.159330632,0.177771419,0.110505605,-0.046179918,0.05864169,-0.023138982,-0.014877036,-0.015954801,-0.007908959,0.006077646,3.00E-15
CBI_02,-9.006101178,1.114025544,-0.26964339,-0.292584944,0.607469533,2.789203395,0.674445047,0.582088366,-0.405476501,-0.244336448,0.095216691,0.182541643,-0.085615653,-0.000259755,-0.078251908,-0.042863327,-0.020021453,0.029592751,0.000659966,2.47E-15
CBI_03,-8.974891067,1.091164827,-0.27922543,-0.272132288,0.632899505,2.793127705,0.684629213,0.591174036,-0.413167777,-0.243922263,0.095842325,0.157207598,-0.094593445,0.032414993,-0.050797105,-0.038662813,-0.006329273,0.023270043,0.001026282,2.47E-15
CBI_05,-9.05855068,1.202137963,-0.206876326,-0.244596667,0.634936047,2.77403782,0.680054977,0.584787477,-0.437848916,-0.225931885,0.087701591,0.202470001,-0.08259614,0.008709639,-0.075914295,-0.036184343,-0.022445568,0.038814657,0.008339871,2.55E-15
CBI_08,-9.058675441,1.201947401,-0.206788312,-0.244555747,0.634935551,2.773827814,0.680276433,0.585169792,-0.437674684,-0.225699806,0.087673834,0.202539406,-0.082555787,0.008646665,-0.075900149,-0.036154729,-0.022421274,0.038801449,0.008346116,2.55E-15
CHL_01,-3.407911085,-1.520914579,-1.168776413,-0.353032755,-1.927293635,-0.158472271,0.894845241,-0.069150494,0.077220619,-0.151292761,-0.187426013,-0.01082231,-0.115254475,-0.023694924,0.05931189,-0.078294505,0.023746949,-0.020148441,-0.001704462,2.18E-15
CHL_04,-3.562965141,-1.120298366,-1.399369318,-0.370169886,-1.634616854,-0.153986427,1.808654499,-0.415198196,0.318478422,-0.335707913,-0.403410536,-0.049643915,-0.055690752,0.020760437,0.087474935,-0.107587596,0.05840865,-0.005483597,0.002666791,2.41E-15
CHL_06,-3.416967589,-1.536184434,-1.132926976,-0.331668,-1.896060283,-0.178188457,0.886063156,-0.114323338,0.092500571,-0.133575969,-0.189167718,-0.031442304,-0.099114,-0.005054028,0.102774762,-0.060101599,0.035057626,-0.020785378,-0.001423107,2.15E-15
CHL_07,-3.416983254,-1.536208361,-1.132915925,-0.331662862,-1.896060345,-0.178214826,0.886090962,-0.114275335,0.092522447,-0.133546829,-0.189171204,-0.03143359,-0.099108933,-0.005061935,0.102776538,-0.06009788,0.035060676,-0.020787036,-0.001422323,2.15E-15
CHL_08,-3.382063548,-1.557554899,-1.123433357,-0.313862288,-1.911970877,-0.159942181,0.896444717,-0.10237019,0.087406026,-0.143291665,-0.173459371,-0.030396923,-0.099897242,-0.004338544,0.070327438,-0.060878756,0.035495241,-0.006895318,0.007762454,2.15E-15
CHL_12,-3.461865536,-1.488103464,-1.087295315,-0.310049853,-1.856317327,-0.180382055,0.881230618,-0.095415238,0.073569054,-0.141416511,-0.150680081,-0.026606896,-0.080263157,-0.005279288,0.093550363,-0.055721903,0.038001004,-0.018859206,0.008453199,2.22E-15
CHL_13,-3.442884889,-1.523868873,-1.103537618,-0.305980334,-1.893857343,-0.158641283,0.89037974,-0.118672927,0.103749763,-0.126741715,-0.169618033,-0.022415038,-0.11763496,-0.02355786,0.099669683,-0.066204119,0.028247305,-0.020880874,0.002665799,2.17E-15
CLK_10,2.781956307,0.250052707,-0.13709498,-1.294466522,0.69426315,0.322809367,-0.360373299,-0.377011446,-0.317611292,0.221098729,-0.010859841,-0.028578951,-0.087884598,-0.071146593,0.079332632,-0.031541943,0.029484728,0.013817356,-0.018271813,-1.99E-15
CLK_11,2.779990944,0.291111713,-0.127022065,-1.28655402,0.723979116,0.295356421,-0.35666424,-0.385194918,-0.311257925,0.224578938,0.013378944,-0.019551969,-0.07189796,-0.056370266,0.06730836,-0.031286084,0.034663614,0.015415874,-0.006418655,-2.00E-15
CLK_12,2.786293835,0.246050277,-0.13710249,-1.298034846,0.697134756,0.320093616,-0.359435049,-0.371408101,-0.314522714,0.223239826,-0.016186271,-0.028044113,-0.086410138,-0.064275561,0.077777779,-0.039012846,0.032504244,0.010335189,-0.018764856,-2.00E-15
CLK_13,2.740601524,0.311323397,-0.124545397,-1.263265654,0.717539286,0.264970259,-0.380916054,-0.38126638,-0.289965324,0.204831976,-0.003235767,-0.022474635,-0.088488855,-0.055478972,0.088070963,-0.042147904,0.051559915,-0.002591198,-0.00742578,-2.05E-15
CLK_14,2.77168042,0.304638722,-0.155852964,-1.293401925,0.723971658,0.280264343,-0.364939937,-0.368313169,-0.324229459,0.235332394,0.000925157,-0.031274417,-0.078832986,-0.066310202,0.087086687,-0.035606063,0.026035803,0.001222752,-0.014507182,-2.05E-15
