Test,Gene,Chromosome,Description,GO,PFAM,ATG,ATG Synonyms,
DE biotic & drought,Potri.001G011300,Chr01,,GO:0004601-peroxidase activity;GO:0020037-heme binding;GO:0006979-response to oxidative stress;GO:0055114-oxidation reduction,PF00141-Peroxidase,AT3G49120.1,"ATPCB,ATPERX34,PERX34,PRX34,PRXCB",
DE biotic & drought,Potri.001G015400,Chr01,,"GO:0016702-oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;GO:0046872-metal ion binding;GO:0055114-oxidation reduction;GO:0005515-protein binding",PF00305-Lipoxygenase;PF01477-PLAT/LH2 domain,AT3G45140.1,"ATLOX2,LOX2",
DE biotic & drought,Potri.001G412400,Chr01,,GO:0005529-sugar binding;GO:0004672-protein kinase activity;GO:0005524-ATP binding;GO:0006468-protein amino acid phosphorylation;GO:0048544-recognition or rejection of self pollen,PF00954-S-locus glycoprotein family;PF07714-Protein tyrosine kinase;PF08276-PAN-like domain;PF01453-D-mannose binding lectin,AT4G21380.1,"ARK3,RK3",
DE biotic & drought,Potri.002G089600,Chr02,,,,,,
DE biotic & drought,Potri.003G028400,Chr03,,,,AT2G26590.1,RPN13,
DE biotic & drought,Potri.004G138400,Chr04,,GO:0004325-ferrochelatase activity;GO:0006783-heme biosynthesis,PF00762-Ferrochelatase;PF00504-Chlorophyll A-B binding protein,AT2G30390.1,"ATFC-II,FC-II,FC2",
DE biotic & drought,Potri.007G003800,Chr07,,"GO:0016747-transferase activity, transferring groups other than amino-acyl groups",PF02458-Transferase family,,,
DE biotic & drought,Potri.007G049900,Chr07,"similar to cytochrome P450. [ORG:Lotus corniculatus var. japonicus]; [ co-ortholog (52of57) of AAF45143, CAB50768, AAF34534, AAP06953, BAA93632, AAM12530, CAB43505, AAF34532, BAA74466, BAA22423, AAF34528, AAF34521, AAF34522, AAF34526, AAF34520, T05944, AA","GO:0005506-iron ion binding;GO:0009055-electron carrier activity;GO:0016705-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037-heme binding;GO:0055114-oxidation reduction",PF00067-Cytochrome P450,AT4G37370.1,CYP81D8,
DE biotic & drought,Potri.008G081300,Chr08,,,PF07002-Copine,,,
DE biotic & drought,Potri.008G209300,Chr08,,,,AT5G24860.1,"ATFPF1,FPF1",
DE biotic & drought,Potri.010G121100,Chr10,,GO:0004672-protein kinase activity;GO:0005524-ATP binding;GO:0006468-protein amino acid phosphorylation,PF00069-Protein kinase domain,,,
DE biotic & drought,Potri.010G216200,Chr10,,"GO:0006355-regulation of transcription, DNA-dependent;GO:0003700-transcription factor activity",PF00847-AP2 domain,AT5G60120.2,TOE2,
